INDEX_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,geom_WKT
3700,SARNIA,CA,42.983333,-82.416667,"POLYGON ((-82.68914365917374 42.783285474852484,-82.68914365917374 43.18338119181431,-82.14418967415958 43.18338119181431,-82.14418967415958 42.783285474852484,-82.68914365917374 42.783285474852484))"
3710,POINT EDWARD,CA,43,-82.416667,"POLYGON ((-82.68921729759495 42.799952722149804,-82.68921729759495 43.200047277850324,-82.14411603573836 43.200047277850324,-82.14411603573836 42.799952722149804,-82.68921729759495 42.799952722149804))"
3730,GODERICH,CA,43.75,-81.733333,"POLYGON ((-82.00925780155251 43.54997905244941,-82.00925780155251 43.950020947550605,-81.45740886511416 43.950020947550605,-81.45740886511416 43.54997905244941,-82.00925780155251 43.54997905244941))"
3750,PORT ELGIN,CA,44.433333,-81.4,"POLYGON ((-81.67912332519415 44.233336177652674,-81.67912332519415 44.633330489014014,-81.12087667480588 44.633330489014014,-81.12087667480588 44.233336177652674,-81.67912332519415 44.233336177652674))"
3760,SOUTHAMPTON,CA,44.5,-81.383333,"POLYGON ((-81.66277369705205 44.30000531618173,-81.66277369705205 44.699994683818225,-81.10389296961466 44.699994683818225,-81.10389296961466 44.30000531618173,-81.66277369705205 44.30000531618173))"
3770,TOBERMORY,CA,45.266667,-81.666667,"POLYGON ((-81.94983876679112 45.06669785259713,-81.94983876679112 45.466635480736244,-81.38349456654225 45.466635480736244,-81.38349456654225 45.06669785259713,-81.94983876679112 45.06669785259713))"
3790,LIONS HEAD,CA,44.983333,-81.25,"POLYGON ((-81.53178185787328 44.78335673649883,-81.53178185787328 45.183309930167866,-80.96821814212672 45.183309930167866,-80.96821814212672 44.78335673649883,-81.53178185787328 44.78335673649883))"
3810,WIARTON,CA,44.75,-81.133333,"POLYGON ((-81.41397773057318 44.550015746669864,-81.41397773057318 44.949984253330136,-80.8526889360935 44.949984253330136,-80.8526889360935 44.550015746669864,-81.41397773057318 44.550015746669864))"
3860,OWEN SOUND,CA,44.583333,-80.933333,"POLYGON ((-81.21317127717965 44.383343034281246,-81.21317127717965 44.78332363238524,-80.65349538948702 44.78332363238524,-80.65349538948702 44.383343034281246,-81.21317127717965 44.383343034281246))"
3880,MEAFORD,CA,44.616667,-80.6,"POLYGON ((-80.87999249139112 44.41667420680278,-80.87999249139112 44.81665912653072,-80.32000750860892 44.81665912653072,-80.32000750860892 44.41667420680278,-80.87999249139112 44.41667420680278))"
3890,THORNBURY,CA,44.566667,-80.45,"POLYGON ((-80.7297600471535 44.36667351208428,-80.7297600471535 44.76665982124931,-80.17023995284644 44.76665982124931,-80.17023995284644 44.36667351208428,-80.7297600471535 44.36667351208428))"
3900,COLLINGWOOD,CA,44.5,-80.233333,"POLYGON ((-80.51277359909447 44.30000655522956,-80.51277359909447 44.699993444770115,-79.95389306757225 44.699993444770115,-79.95389306757225 44.30000655522956,-80.51277359909447 44.30000655522956))"
3930,PENETANGUISHENE,CA,44.766667,-79.933333,"POLYGON ((-80.21405666121727 44.56668280898847,-80.21405666121727 44.966650524344836,-79.6526100054494 44.966650524344836,-79.6526100054494 44.56668280898847,-80.21405666121727 44.56668280898847))"
3940,MIDLAND,CA,44.75,-79.916667,"POLYGON ((-80.19730898124187 44.5500154787231,-80.19730898124187 44.949984521276875,-79.6360243520915 44.949984521276875,-79.6360243520915 44.5500154787231,-80.19730898124187 44.5500154787231))"
3950,TIFFIN,CA,44.75,-79.85,"POLYGON ((-80.13064137563262 44.55001507100571,-80.13064137563262 44.949984928994276,-79.56935862436737 44.949984928994276,-79.56935862436737 44.55001507100571,-80.13064137563262 44.55001507100571))"
3960,PORT MCNICOLL,CA,44.75,-79.8,"POLYGON ((-80.08064057936267 44.550014664770785,-80.08064057936267 44.94998533522923,-79.51935942063733 44.94998533522923,-79.51935942063733 44.550014664770785,-80.08064057936267 44.550014664770785))"
3970,VICTORIA HARBOUR,CA,44.75,-79.816667,"POLYGON ((-80.09730752022043 44.5500148097486,-80.09730752022043 44.9499851902514,-79.5360258131129 44.9499851902514,-79.5360258131129 44.5500148097486,-80.09730752022043 44.5500148097486))"
3980,WAUBAUSHENE,CA,44.766667,-79.716667,"POLYGON ((-79.99738654045957 44.566681045715264,-79.99738654045957 44.966652287618096,-79.43594679287376 44.966652287618096,-79.43594679287376 44.566681045715264,-79.99738654045957 44.566681045715264))"
4000,PORT SEVERN,CA,44.8,-79.716667,"POLYGON ((-79.99754832174713 44.60001554435129,-79.99754832174713 44.99998445564875,-79.4357850115862 44.99998445564875,-79.4357850115862 44.60001554435129,-79.99754832174713 44.60001554435129))"
4020,DEPOT HARBOUR,CA,45.316667,-80.1,"POLYGON ((-80.38342691101802 45.11670239315239,-80.38342691101802 45.516630940180924,-79.81657308898197 45.516630940180924,-79.81657308898197 45.11670239315239,-80.38342691101802 45.11670239315239))"
4030,PARRY SOUND,CA,45.333333,-80.033333,"POLYGON ((-80.31684263542296 45.13336966358735,-80.31684263542296 45.53329700307928,-79.7498240312437 45.53329700307928,-79.7498240312437 45.13336966358735,-80.31684263542296 45.13336966358735))"
4050,BYNG INLET,CA,45.766667,-80.566667,"POLYGON ((-80.85235530106868 45.56671349242672,-80.85235530106868 45.96661984090684,-80.28097803226473 45.96661984090684,-80.28097803226473 45.56671349242672,-80.85235530106868 45.56671349242672))"
4060,KEY HARBOUR,CA,45.883333,-80.75,"POLYGON ((-81.03629080396541 45.683387115868896,-81.03629080396541 46.0832795507978,-80.46370919603459 46.0832795507978,-80.46370919603459 45.683387115868896,-81.03629080396541 45.683387115868896))"
4080,KILLARNEY,CA,45.966667,-81.516667,"POLYGON ((-81.80338100096283 45.76671939243143,-81.80338100096283 46.16661394090213,-81.22995233237062 46.16661394090213,-81.22995233237062 45.76671939243143,-81.80338100096283 45.76671939243143))"
11905,MAMONAL,CO,10.316667,-75.516667,"POLYGON ((-75.71956595719274 10.115747870605698,-75.71956595719274 10.517585462727617,-75.31376737614002 10.517585462727617,-75.31376737614002 10.115747870605698,-75.71956595719274 10.115747870605698))"
13040,IMBITUBA,BR,-28.233333,-48.666667,"POLYGON ((-48.893095539146415 -28.433871473197335,-48.893095539146415 -28.03279519346929,-48.44023779418687 -28.03279519346929,-48.44023779418687 -28.433871473197335,-48.893095539146415 -28.433871473197335))"
12935,GUAIBA ISLAND TERMINAL,BR,-23.016667,-44.033333,"POLYGON ((-44.25013173899681 -23.217347803503745,-44.25013173899681 -22.81598552982958,-43.816534927669856 -22.81598552982958,-43.816534927669856 -23.217347803503745,-44.25013173899681 -23.217347803503745))"
12900,DTSE / GEGUA OIL TERMINAL,BR,-22.816667,-43.15,"POLYGON ((-43.36648029198621 -23.01735266528569,-43.36648029198621 -22.615980668047616,-42.933519708013804 -22.615980668047616,-42.933519708013804 -23.01735266528569,-43.36648029198621 -23.01735266528569))"
12950,GEBIG,BR,-23.05,-44.216667,"POLYGON ((-44.43351856745787 -23.250679938602826,-44.43351856745787 -22.849320061397176,-43.99981476587547 -22.849320061397176,-43.99981476587547 -23.250679938602826,-44.43351856745787 -23.250679938602826))"
60810,DE KASTRI,RU,51.466667,140.783333,"POLYGON ((140.4635257017736 51.26691548787311,140.4635257017736 51.66641784546032,141.10314096489313 51.66641784546032,141.10314096489313 51.26691548787311,140.4635257017736 51.26691548787311))"
60820,NIKOLAYEVSK NA AMUR,RU,53.133333,140.733333,"POLYGON ((140.40128520602562 52.9336376765273,140.40128520602562 53.3330289901394,141.06538146064102 53.3330289901394,141.06538146064102 52.9336376765273,140.40128520602562 52.9336376765273))"
60860,OKHA,RU,53.55,143,"POLYGON ((142.66470588170378 53.35032033711283,142.66470588170378 53.74967966288751,143.33529411829622 53.74967966288751,143.33529411829622 53.35032033711283,142.66470588170378 53.35032033711283))"
60880,PORONAYSK,RU,49.216667,143.133333,"POLYGON ((142.82828897300737 49.01683791372943,142.82828897300737 49.41649541960393,143.43837769365928 49.41649541960393,143.43837769365928 49.01683791372943,142.82828897300737 49.01683791372943))"
60920,KORSAKOV,RU,46.616667,142.766667,"POLYGON ((142.47653101394988 46.41674739808431,142.47653101394988 46.81658593524902,143.05680231938348 46.81658593524902,143.05680231938348 46.41674739808431,142.47653101394988 46.41674739808431))"
60930,NEVELSK,RU,46.666667,141.866667,"POLYGON ((141.57626362265856 46.466749704473024,141.57626362265856 46.866583628860276,142.1570697106748 46.866583628860276,142.1570697106748 46.466749704473024,141.57626362265856 46.466749704473024))"
60940,KHOLMSK,RU,47.05,142.05,"POLYGON ((141.75752324030972 46.85009635439771,141.75752324030972 47.24990364560229,142.3424767596903 47.24990364560229,142.3424767596903 46.85009635439771,141.75752324030972 46.85009635439771))"
60980,UGLEGORSK,RU,49.083333,142.033333,"POLYGON ((141.72910399935313 48.88350073494741,141.72910399935313 49.28316593171926,142.33756266731353 49.28316593171926,142.33756266731353 48.88350073494741,141.72910399935313 48.88350073494741))"
60990,LESOGORSK,RU,49.45,142.133333,"POLYGON ((141.82684617153856 49.250179330550814,141.82684617153856 49.649820669449234,142.4398204951281 49.649820669449234,142.4398204951281 49.250179330550814,141.82684617153856 49.250179330550814))"
60380,MASAN,KR,35.183333,128.566667,"POLYGON ((128.32267242891885 34.98301928963439,128.32267242891885 35.383647377032354,128.81066090441453 35.383647377032354,128.81066090441453 34.98301928963439,128.32267242891885 34.98301928963439))"
60390,PUSAN,KR,35.1,129.033333,"POLYGON ((128.78958825851308 34.89968308819292,128.78958825851308 35.30031691180708,129.27707840815359 35.30031691180708,129.27707840815359 34.89968308819292,128.78958825851308 34.89968308819292))"
60400,ULSAN,KR,35.45,129.4,"POLYGON ((129.1552093325327 35.24969414332991,129.1552093325327 35.65030585666978,129.64479066746765 35.65030585666978,129.64479066746765 35.24969414332991,129.1552093325327 35.24969414332991))"
59910,WENZHOU,CN,28.016667,120.65,"POLYGON ((120.4240237327996 27.816128337836197,120.4240237327996 28.217204995497184,120.87597626720041 28.217204995497184,120.87597626720041 27.816128337836197,120.4240237327996 27.816128337836197))"
59950,ZHEN HAI,CN,29.95,121.7,"POLYGON ((121.46978180002141 29.749519208886092,121.46978180002141 30.15048079111392,121.93021819997863 30.15048079111392,121.93021819997863 29.749519208886092,121.46978180002141 29.749519208886092))"
59960,ZHOUSHAN,CN,30,122.1,"POLYGON ((121.86966730344275 29.799520297979548,121.86966730344275 30.20047970202046,122.33033269655724 30.20047970202046,122.33033269655724 29.799520297979548,121.86966730344275 29.799520297979548))"
59985,JIANGYIN,CN,31.916667,120.233333,"POLYGON ((119.99835538394088 31.716246544692495,119.99835538394088 32.117086788640876,120.46831128272576 32.117086788640876,120.46831128272576 31.716246544692495,119.99835538394088 31.716246544692495))"
59987,GAOGANG,CN,32.283333,119.85,"POLYGON ((119.61408080041136 32.08292499743146,119.61408080041136 32.48374166923513,120.08591919958863 32.48374166923513,120.08591919958863 32.08292499743146,119.61408080041136 32.08292499743146))"
59988,YANGZHOU,CN,32.266667,119.433333,"POLYGON ((119.19746003035264 32.066257718322326,119.19746003035264 32.46707561501095,119.66920663631412 32.46707561501095,119.66920663631412 32.066257718322326,119.19746003035264 32.066257718322326))"
59995,ZHENJIANG,CN,32.216667,119.433333,"POLYGON ((119.19758890592507 32.016256135928366,119.19758890592507 32.417077197405,119.66907776074163 32.417077197405,119.66907776074163 32.016256135928366,119.19758890592507 32.016256135928366))"
60000,NANJING,CN,32.083333,118.75,"POLYGON ((118.5145949727597 31.882918764790634,118.5145949727597 32.28374790187605,118.98540502724028 32.28374790187605,118.98540502724028 31.882918764790634,118.5145949727597 31.882918764790634))"
60010,WU HU,CN,31.333333,118.366667,"POLYGON ((118.13315215448272 31.132895009874446,118.13315215448272 31.533771656792062,118.60018117885078 31.533771656792062,118.60018117885078 31.132895009874446,118.13315215448272 31.132895009874446))"
60030,ANKINGCHENG,CN,30.516667,117.033333,"POLYGON ((116.80179437302453 30.316202819247096,116.80179437302453 30.717130514084637,117.26487229364216 30.717130514084637,117.26487229364216 30.316202819247096,116.80179437302453 30.316202819247096))"
60060,HANKOW,CN,30.583333,114.283333,"POLYGON ((114.0516364855407 30.38287164875149,114.0516364855407 30.78379501791421,114.51503018112616 30.78379501791421,114.51503018112616 30.38287164875149,114.0516364855407 30.38287164875149))"
60110,WANXIAN,CN,30.816667,108.433333,"POLYGON ((108.20107762789854 30.6162124032848,108.20107762789854 31.0171209300486,108.6655890387681 31.0171209300486,108.6655890387681 30.6162124032848,108.20107762789854 30.6162124032848))"
60120,CHUNG CHING,CN,29.566667,106.633333,"POLYGON ((106.40399178042183 29.366174428432466,106.40399178042183 29.76715890489956,106.8626748862445 29.76715890489956,106.8626748862445 29.366174428432466,106.40399178042183 29.366174428432466))"
60130,LIANYUNGANG,CN,34.733333,119.45,"POLYGON ((119.20734037280374 34.53300377012282,119.20734037280374 34.93366289654388,119.69265962719626 34.93366289654388,119.69265962719626 34.53300377012282,119.20734037280374 34.53300377012282))"
